School DBN,# of students over five active on register,# of students w/ at least one dose,% w/ at least one dose,# of students fully vaccinated,% fully vaccinated,# of students not fully vaccinated,% of students not fully vaccinated,# of students never vaccinated,% of students never vaccinated
01M015,169,62,0.367,53,0.314,116,0.686,107,0.633
01M019,168,79,0.47,65,0.387,103,0.613,89,0.530
01M020,307,159,0.518,123,0.401,184,0.599,148,0.482
01M034,244,99,0.406,71,0.291,173,0.709,145,0.594
01M063,161,76,0.472,58,0.36,103,0.640,85,0.528
01M064,185,77,0.416,66,0.357,119,0.643,108,0.584
01M110,296,164,0.554,153,0.517,143,0.483,132,0.446
01M134,165,58,0.352,41,0.248,124,0.752,107,0.648
01M140,325,158,0.486,126,0.388,199,0.612,167,0.514
01M142,283,101,0.357,75,0.265,208,0.735,182,0.643
01M184,674,579,0.859,545,0.809,129,0.191,95,0.141
01M188,377,141,0.374,104,0.276,273,0.724,236,0.626
01M292,284,203,0.715,180,0.634,104,0.366,81,0.285
01M315,282,220,0.78,206,0.73,76,0.270,62,0.220
01M332,191,136,0.712,114,0.597,77,0.403,55,0.288
01M361,252,168,0.667,142,0.563,110,0.437,84,0.333
01M363,221,178,0.805,156,0.706,65,0.294,43,0.195
01M364,219,125,0.571,111,0.507,108,0.493,94,0.429
01M378,170,107,0.629,90,0.529,80,0.471,63,0.371
01M448,510,409,0.802,380,0.745,130,0.255,101,0.198
01M450,693,562,0.811,528,0.762,165,0.238,131,0.189
01M458,125,72,0.576,47,0.376,78,0.624,53,0.424
01M515,469,292,0.623,215,0.458,254,0.542,177,0.377
01M539,1629,1435,0.881,1370,0.841,259,0.159,194,0.119
01M650,116,54,0.466,34,0.293,82,0.707,62,0.534
01M696,604,553,0.916,539,0.892,65,0.108,51,0.084
01M839,326,249,0.764,231,0.709,95,0.291,77,0.236
02M001,189,111,0.587,89,0.471,100,0.529,78,0.413
02M002,344,238,0.692,207,0.602,137,0.398,106,0.308
02M003,523,407,0.778,371,0.709,152,0.291,116,0.222
02M006,501,423,0.844,383,0.764,118,0.236,78,0.156
02M011,716,581,0.811,545,0.761,171,0.239,135,0.189
